EQ,AKUMS,785.1,8.29,12357.0,141.53,1065.1
EQ,AKZOINDIA,3125.3,1.4,14232.71,0.36,11.31
EQ,ALANKIT,24.66,1.4,668.68,12.21,3.03
EQ,ALBERTDAVD,1243.95,2.53,709.94,0.04,0.47
EQ,ALEMBICLTD,141.34,1.21,3629.35,6.4,9.08
EQ,ALICON,1276.85,-0.32,2076.39,0.12,1.57
EQ,ALKALI,126.1,2.2,128.4,0.11,0.14
EQ,ALKEM,5431.1,2.2,64936.95,1.25,67.49
EQ,ALKYLAMINE,2089.45,0.44,10683.57,0.34,7.17
EQ,ALLCARGO,61.23,-0.03,6017.57,8.82,5.43
SM,ALLETEC,373.0,7.35,753.24,0.53,1.95
EQ,ALLSEC,1032.7,2.4,1573.66,0.23,2.4
EQ,ALMONDZ,34.48,-1.46,572.74,4.16,1.45
EQ,ALOKINDS,26.05,4.58,12934.45,106.09,27.32
EQ,ALPA,95.76,1.76,201.48,0.6,0.58
ST,ALPEXSOLAR,690.0,-0.57,1688.66,0.42,2.97
EQ,ALPHA,54.7,-0.58,257.24,8.79,4.84
EQ,ALPHAETF,27.67,0.73,222.74,7.85,2.19
BE,ALPHAGEO,451.25,-2.14,287.21,0.04,0.16
EQ,ALPL30IETF,29.96,0.23,1238.82,0.84,0.25
BE,ALPSINDUS,3.36,1.82,13.14,0.04,0.0
ST,ALUWIND,56.5,-0.88,140.39,0.09,0.05
SM,AMBANIORGO,99.5,1.53,70.23,0.01,0.01
EQ,AMBER,4291.9,1.0,14480.58,0.31,13.44
SM,AMBEY,64.0,-2.96,159.66,0.52,0.34
EQ,AMBICAAGAR,25.34,1.6,43.53,0.05,0.01
EQ,AMBIKCO,2093.75,8.35,1198.67,0.4,8.2
EQ,AMBUJACEM,642.75,1.04,158317.26,6.86,44.14
EQ,AMDIND,67.15,1.67,128.7,0.15,0.1
SM,AMEYA,122.95,0.0,92.21,0.04,0.05
EQ,AMIORG,1302.8,3.59,5329.18,0.69,8.87
BE,AMJLAND,54.25,1.04,222.43,0.13,0.07
EQ,AMNPLST,332.6,9.61,1829.97,3.57,12.24
EQ,AMRUTANJAN,735.5,-0.12,2126.38,0.07,0.49
EQ,ANANDRATHI,3599.95,0.26,14943.51,0.14,4.97
EQ,ANANTRAJ,508.7,1.69,17391.98,6.57,33.78
EQ,ANDHRAPAP,547.9,-2.27,2179.0,1.68,9.16
EQ,ANDHRSUGAR,109.97,1.03,1490.48,1.42,1.57
EQ,ANGELONE,2100.35,-1.01,18926.64,4.42,93.7
BE,ANIKINDS,70.0,1.26,194.27,0.02,0.01
BE,ANKITMETAL,4.97,4.85,70.13,1.61,0.08
ST,ANLON,485.5,-1.12,303.7,0.02,0.08
BE,ANMOL,32.65,1.59,185.82,0.24,0.08
SM,ANNAPURNA,331.45,1.58,583.02,0.2,0.65
BZ,ANSALAPI,9.94,3.33,156.46,0.45,0.04
EQ,ANTGRAPHIC,1.55,4.73,24.03,10.66,0.16
EQ,ANUP,1685.0,-0.65,3355.5,0.16,2.68
EQ,ANURAS,782.25,0.27,8591.82,0.49,3.86
EQ,APARINDS,8255.45,0.51,33160.75,0.89,73.66
EQ,APCL,191.66,0.84,563.0,0.12,0.23
EQ,APCOTEXIND,431.85,-1.12,2238.92,0.21,0.92
EQ,APEX,272.45,0.74,851.41,1.23,3.35
EQ,APLAPOLLO,1445.95,2.08,40128.66,1.21,17.55
EQ,APLLTD,1216.05,1.65,23903.06,0.45,5.52
EQ,APOLLO,111.42,0.16,3414.91,10.48,11.82
EQ,APOLLOHOSP,6715.7,0.42,96561.46,1.35,90.65
EQ,APOLLOPIPE,602.55,-0.01,2491.74,0.34,2.08
EQ,APOLLOTYRE,525.0,0.25,33342.8,4.26,22.48
EQ,APOLSINHOT,1517.35,2.2,394.57,0.01,0.16
ST,APRAMEYA,74.0,-2.5,140.9,1.54,1.13
ST,APS,427.5,-1.88,843.88,0.2,0.89
EQ,APTECHT,213.67,2.19,1239.15,0.94,2.0
EQ,APTUS,313.95,1.09,15665.29,7.88,24.87
SM,ARABIAN,77.75,-2.81,84.69,0.02,0.02
EQ,ARCHIDPLY,119.6,-1.49,237.59,3.97,4.73
EQ,ARCHIES,24.96,0.44,84.31,0.09,0.02
EQ,ARE&M,1484.2,-1.55,27164.62,6.95,105.1
EQ,ARENTERP,53.41,0.43,16.6,0.23,0.12
SM,ARHAM,137.95,4.87,233.41,0.02,0.03
EQ,ARIES,275.9,2.47,358.79,0.53,1.45
SM,ARIHANTACA,152.0,0.1,92.04,0.01,0.01
EQ,ARIHANTCAP,72.66,0.57,756.48,1.8,1.32
EQ,ARIHANTSUP,303.8,0.66,1250.44,0.14,0.43
SM,ARISTO,91.05,0.05,61.99,0.02,0.01
EQ,ARMANFIN,1766.0,-1.35,1850.54,0.2,3.53
EQ,AROGRANITE,55.3,0.69,84.61,0.46,0.25
EQ,ARROWGREEN,858.8,-8.96,1295.75,17.65,164.46
BE,ARSHIYA,4.45,-1.11,117.25,1.32,0.06
BE,ARSSINFRA,19.0,-1.45,43.2,0.09,0.02
EQ,ARTEMISMED,253.25,3.71,3483.95,1.22,3.09
EQ,ARTNIRMAN,63.01,-0.52,157.25,0.15,0.09
BE,ARVEE,178.0,-0.18,196.16,0.0,0.0
EQ,ARVIND,408.45,10.11,10686.3,29.64,118.6
EQ,ARVINDFASN,494.45,1.84,6586.14,2.96,14.78
EQ,ARVSMART,739.1,2.87,3360.09,0.4,3.01
EQ,ASAHIINDIA,631.6,3.55,15353.56,0.75,4.7
EQ,ASAHISONG,552.7,1.21,651.48,0.19,1.04
EQ,ASAL,972.0,0.09,1542.02,0.33,3.25
EQ,ASALCBR,785.0,1.55,1419.22,0.25,1.93
ST,ASHALOG,175.75,-5.0,238.25,13.47,24.81
EQ,ASHAPURMIN,347.05,1.43,3175.03,1.12,3.93
EQ,ASHIANA,374.95,0.42,3769.18,0.24,0.92
EQ,ASHIMASYN,42.74,4.99,819.16,7.16,3.02
EQ,ASHOKA,242.35,1.25,6803.33,7.49,18.31
EQ,ASHOKAMET,19.1,0.37,47.74,0.2,0.04
EQ,ASHOKLEY,247.05,1.25,72544.44,53.36,132.6
EQ,ASIANENE,303.4,-4.28,1241.65,1.21,3.72
EQ,ASIANHOTNR,188.94,-0.48,367.55,0.04,0.08
EQ,ASIANPAINT,3122.2,0.93,299480.73,3.78,117.89
EQ,ASIANTILES,76.27,-1.49,966.69,19.12,14.74
EQ,ASKAUTOLTD,386.45,3.33,7618.58,2.16,8.39
EQ,ASMS,20.25,-2.03,616.77,0.32,0.06
EQ,ASPINWALL,277.0,1.47,216.57,0.06,0.17
SM,ASPIRE,93.0,5.62,141.16,0.16,0.15
EQ,ASTEC,1195.05,0.04,2343.52,0.12,1.45
EQ,ASTERDM,380.6,3.27,19011.47,15.09,57.23
EQ,ASTRAL,2122.05,0.79,57003.99,0.82,17.39
EQ,ASTRAMICRO,839.6,0.9,7971.58,1.23,10.4
EQ,ASTRAZEN,7059.35,3.68,17648.38,0.1,7.27
BE,ASTRON,23.39,-0.89,108.76,0.13,0.03
BE,ATALREAL,7.3,-2.41,54.03,0.62,0.05
EQ,ATAM,168.41,-1.13,193.05,0.51,0.86
